sh_4914: 胎心监测
sh_4915: 产前常规检查
sh_4916: 羊膜腔穿刺
sh_4917: 羊膜腔穿刺-羊膜腔穿刺注药（扩展）
sh_4918: 绒毛取材
sh_4919: 胎儿内镜检查
sh_4920: 催引产
sh_4921: 产程管理
sh_4922: 分娩镇痛
sh_4923: 导乐分娩
sh_4924: 亲情陪产
sh_4925: 胎儿外倒转
sh_4926: 胎儿宫内输血
sh_4927: 胎盘血管交通支凝固治疗
sh_4928: 羊水调节
sh_4929: 子宫压迫止血
sh_4930: 脐静脉穿刺
sh_4931: 药物减胎
sh_4932: 中期引产
sh_4933: 晚期引产
sh_4934: 死胎接生
